u,v,width,capacity,baseline_vc,optimized_vc,delta_vc,reduction_pct
SYJ,N13,99.0,9999.0,0.0,0.0,0.0,0.0
TYGY,N3,99.0,9999.0,0.0,0.0,0.0,0.0
TYGY,N4,99.0,9999.0,0.0,0.0,0.0,0.0
TYGY,N7,99.0,9999.0,0.0,0.0,0.0,0.0
TYST,N14,99.0,9999.0,0.0,0.0,0.0,0.0
XYST,N30,99.0,9999.0,0.0508,0.0331,-0.0177,34.82
XYST,N12,99.0,9999.0,0.0808,0.0858,0.005,-6.16
XYST,N28,99.0,9999.0,0.0186,0.0126,-0.006,32.41
XYST,N29,99.0,9999.0,0.0031,0.0081,0.005,-160.69
XYGY,N13,99.0,9999.0,0.0,0.0,0.0,0.0
XYGY,N12,99.0,9999.0,0.0,0.0,0.0,0.0
GYST,N28,99.0,9999.0,0.0835,0.0632,-0.0203,24.3
GYST,N29,99.0,9999.0,0.0289,0.0491,0.0202,-69.99
GYST,N31,99.0,9999.0,0.0128,0.0128,-0.0,0.15
GYST,N32,99.0,9999.0,0.0,0.0,0.0,0.0
CYGY,N28,99.0,9999.0,0.0,0.0,0.0,0.0
GYGY,N61,99.0,9999.0,0.0,0.0,0.0,0.0
GYGY,N62,99.0,9999.0,0.0,0.0,0.0,0.0
T_16,N15,99.0,9999.0,0.0864,0.0752,-0.0112,12.95
T_16,N16,99.0,9999.0,0.0404,0.0285,-0.0119,29.49
T_25,N48,99.0,9999.0,0.0655,0.0205,-0.045,68.66
T_25,N39,99.0,9999.0,0.0,0.0339,0.0339,0.0
T_25,N38,99.0,9999.0,0.0,0.0015,0.0015,0.0
T_1,N25,99.0,9999.0,0.0198,0.0195,-0.0003,1.27
T_1,N24,99.0,9999.0,0.0,0.0021,0.0021,0.0
T_1,N22,99.0,9999.0,0.0,0.0,0.0,0.0
T_1,N18,99.0,9999.0,0.0,0.0016,0.0016,0.0
T_1,N20,99.0,9999.0,0.0,0.0,0.0,0.0
T_2,N14,99.0,9999.0,0.1102,0.0959,-0.0143,12.93
T_2,N15,99.0,9999.0,0.0162,0.0146,-0.0016,9.97
T_2,N6,99.0,9999.0,0.0,0.0,0.0,0.0
T_2,N27,99.0,9999.0,0.0,0.0,0.0,0.0
T_3,N3,99.0,9999.0,0.0155,0.0155,-0.0,0.28
T_3,N4,99.0,9999.0,0.0,0.0,0.0,0.0
T_3,N5,99.0,9999.0,0.0014,0.0014,0.0,-3.33
T_3,N2,99.0,9999.0,0.0,0.0,0.0,0.0
T_4,N4,99.0,9999.0,0.0504,0.0959,0.0455,-90.28
T_4,N14,99.0,9999.0,0.0017,0.0017,-0.0,2.56
T_5,N16,99.0,9999.0,0.0174,0.0174,0.0,-0.02
T_6,N44,99.0,9999.0,0.0204,0.0179,-0.0025,12.27
T_6,N45,99.0,9999.0,0.0,0.0035,0.0035,0.0
T_7,N42,99.0,9999.0,0.0,0.0,0.0,0.0
T_7,N43,99.0,9999.0,0.0,0.0,0.0,0.0
T_7,N32,99.0,9999.0,0.1373,0.1154,-0.0219,15.93
T_7,N46,99.0,9999.0,0.0,0.014,0.014,0.0
T_7,N49,99.0,9999.0,0.0,0.0,0.0,0.0
T_8,N42,99.0,9999.0,0.0207,0.0453,0.0246,-118.82
T_8,N41,99.0,9999.0,0.0,0.0,0.0,0.0
T_8,N49,99.0,9999.0,0.0,0.0093,0.0093,0.0
T_8,N40,99.0,9999.0,0.0,0.0,0.0,0.0
T_9,N47,99.0,9999.0,0.0,0.0194,0.0194,0.0
T_9,N37,99.0,9999.0,0.0,0.0,0.0,0.0
T_9,N38,99.0,9999.0,0.0,0.0,0.0,0.0
T_9,N48,99.0,9999.0,0.0324,0.024,-0.0084,25.86
T_10,N38,99.0,9999.0,0.0258,0.0258,0.0,-0.01
T_10,N50,99.0,9999.0,0.0,0.0,0.0,0.0
